type,clip,start,end,role,text,image,notes
#,,,,,--- EXAMPLES: edit or delete these four rows ---,,
title,0,,8,,Hierarchical Divine Liturgy||Deacon Training||20 June 2026,,opening card; folds into chapter 1
card,20,,6,,Homily,,standalone card = its own chapter
title,25,,5,,The Great Entrance,,leads into chapter 26
skip,,,,,,,put a clip number here to drop it
#,,,,,--- END EXAMPLES ---,,
,,,,,,,
chapter,1,0,20,,"Greeting of the Hierarch at the Doors

?  What is the order of greeting - warden? Priest? Children ?
Children - Flowers
Parish Council President - Bread and Salt

Rector at center, other priests to south and north sides of the church
(Don’t forget to carry the cross handle to priests left)

Deacon 1 and 2 ready to cense

Subdeacons or altar servers ready at the door to place the Mantiya
(This should be practiced the night before)

One subdeacon or altar server holds the train of the Mantiya
",,
annotation,1,0,4,AS1+2,Subdeacons or altar servers place the mantilla,,
annotation,1,C,3,Deacons,Continuously cense the bishop,,
Speed,1,38,1:20,Priest,Greets Bishop….,,
annotation,1,1:27,4,Priest,"At the conclusion, the priest presents the cross",,
Chapter,2,0,4,,"The Bishop Enters the Nave

",,
Annotation,2,1,7,,"The priests in order kiss the cross, and the Bishop’s hand and receive the blessing,",,
annotation,2,9,5,,"Then the presiding priest does the same, and is given back the cross on his tray",,
annotation,2,25,3,D1,"""Bless, master, the holy incense” - Both Deacons hold up their censers",,
annotation,2,C,2,,First Deacon:  “Wisdom”,,
Annotation,2,C,2,,Deacons turn around and walk forward toward cathedra,,
annotation,2,C,4,CHOIR,"While the first deacon, chants and the choir sings - “it is truly meet…”",,
Annotation,2,44,3,,"Deacons walk past cathedra, turn around and continue to cense the Bishop",,
Annotation,2,1:00,4,AS3+4,"Deacons turn towards the altar, as Bishop walks past, giving their censers away",,
annotation,2,1:05,4,AS1+2,"A server takes the staff, and the Bishop will greet the icons",,
,,,,,,,
chapter,3,,,,Entrance Prayers,,
annotation,3,15,4,D1,"Deacon 1 reads the entrance prayers quietly
As normal, BUT stop before “I will enter thy house” ",,TRIM THE END OF THIS OFF
,,,,,,,
chapter,4,,,,"Conclusion of the Entrance Prayers and the Vesting

Ton Despótēn kaì Archiaréa hēmōn, Kýrie phýlatte: eis pollà étē, Déspota!",,TRIM THE BEGINNING OF THIS
,,,,,,,
annotation,,1,4,D1,"""Bless, master"" — the dialogue begins",,
annotation,,4.2,7.2,D1,"Carries the ""Amen"" straight through to the Our Father",,
annotation,,7.4,10.4,,Staff taken just before the Our Father,,
annotation,,10.6,13.6,D1,"""We venerate Thy most pure image""",,
,,,,,,,
chapter,,,,,Ton Despotin; Blessing of the Clergy,,
annotation,,1,4,,"Staff returned after ""O Lord, stretch forth""",,
annotation,,4.2,7.2,D1,"Intones ""Ton Despotin"" — choir follows",,
annotation,,7.4,10.4,,Clergy approach in order of rank — deacons included,,
annotation,,10.6,13.6,,Priests enter through the deacon doors,,
,,,,,,,
chapter,,,,,Vesting of the Hierarch,,
annotation,,1,4,,"Staff goes to the iconostasis, by the icon of Christ",,
annotation,,4.2,7.2,,"Empty tray collects klobuk, mantiya, panagia",,
annotation,,7.4,10.4,D1+D2,Both deacons on the solea with censers,,
annotation,,10.6,13.6,,Vesting prayers chanted vestment by vestment,,
,,,,,,,
chapter,,,,,Blessing with Dikirion and Trikirion,,
annotation,,1,4,,Bishop blesses the four sides,,
annotation,,4.2,7.2,D1,"""May your light so shine before men""",,
annotation,,7.4,10.4,D1,Deacon censes the bishop nine times — three by three,,
annotation,,10.6,13.6,,Subdeacons flank the deacon on the ambo,,
,,,,,,,
chapter,,,,,It is Time for the Lord to Act; Great Litany,,
annotation,,1,4,D1,"""It is time for the Lord to act""",,
annotation,,4.2,7.2,D1,"""Bless, master""",,
annotation,,7.4,10.4,,"The senior priest exclaims, not the bishop",,
annotation,,10.6,13.6,D2,Great Litany,,
,,,,,,,
chapter,,,,,First Antiphon; Washing of the Hierarch's Hands,,
annotation,,1,4,,Hands washed during the First Antiphon,,
annotation,,4.2,7.2,D1,Deacon says the prayers as three servers assist,,
,,,,,,,
chapter,,,,,Conclusion of the Washing; Little Litany,,
annotation,,1,4,D2,Little Litany,,
,,,,,,,
chapter,,,,,Second Antiphon,,
annotation,,1,4,,Second Antiphon,,
,,,,,,,
chapter,,,,,"Little Entrance, Part 1",,
annotation,,1,4,,Servers with candles and fans lead,,
